BIPA	GRAPHEME	SYMBOLS
<NA>	j̪	
<NA>	ɺ̢	
a	a	◌a
aː	aː	◌a ◌ː
ã	ã	◌a ◌̃
e	e	◌e
eː	eː	◌e ◌ː
ẽ	ẽ	◌e ◌̃
i	i	◌i
iː	iː	◌i ◌ː
ĩ	ĩ	◌i ◌̃
j	j	◌j
j̻	j̻	◌j ◌̻
k	k	◌k
k̚	k͉	◌k ◌̚
k͈	k͈	◌k ◌͈
l	l	◌l
l̪	l̪	◌l ◌̪
l̺	l̺	◌l ◌̺
l̻	l̻	◌l ◌̻
m	m	◌m
n	n	◌n
n̪	n̪	◌n ◌̪
n̺	n̺	◌n ◌̺
n̻	n̻	◌n ◌̻
o	o	◌o
oː	oː	◌o ◌ː
õ	õ	◌o ◌̃
p	p	◌p
p̚	p͉	◌p ◌̚
p͈	p͈	◌p ◌͈
r	r	◌r
r̺	r̺	◌r ◌̺
r̺̥	r̺̥	◌r ◌̺ ◌̥
t	t	◌t
t̚	t͉	◌t ◌̚
t̪	t̪	◌t ◌̪
t̪̚	t̪͉	◌t ◌̪ ◌̚
t̪͈	t̪͈	◌t ◌̪ ◌͈
t̺	t̺	◌t ◌̺
t̺̚	t̺͉	◌t ◌̺ ◌̚
t̺͈	t̺͈	◌t ◌̺ ◌͈
t̻	t̻	◌t ◌̻
t̻̚	t̻͉	◌t ◌̻ ◌̚
t̻͈	t̻͈	◌t ◌̻ ◌͈
t͈	t͈	◌t ◌͈
u	u	◌u
uː	uː	◌u ◌ː
w	w	◌w
y	y	◌y
æ	æ	◌æ
æː	æː	◌æ ◌ː
æ̃	æ̃	◌æ ◌̃
ð	ð	◌ð
ø	ø	◌ø
øː	øː	◌ø ◌ː
ŋ	ŋ	◌ŋ
ȴ	ȴ	◌ȴ
ȵ	ȵ	◌ȵ
ȶ	ȶ	◌ȶ
ȶ̚	ȶ͉	◌ȶ ◌̚
ȶ͈	ȶ͈	◌ȶ ◌͈
ə	ə	◌ə
ɣ	ɣ	◌ɣ
ɦ	ɦ	◌ɦ
ɨ	ɨ	◌ɨ
ɭ	ɭ	◌ɭ
ɰ	ɰ	◌ɰ
ɳ	ɳ	◌ɳ
ɵ	ɵ	◌ɵ
ɵː	ɵː	◌ɵ ◌ː
ɸ	ɸ	◌ɸ
ɹ̺	ɹ̺	◌ɹ ◌̺
ɺ	ɺ	◌ɺ
ɻ	ɻ	◌ɻ
ɽ	ɽ	◌ɽ
ɾ	ɾ	◌ɾ
ɾ̺	ɾ̺	◌ɾ ◌̺
ʈ	ʈ	◌ʈ
ʈ̚	ʈ͉	◌ʈ ◌̚
ʈ͈	ʈ͈	◌ʈ ◌͈
ʉ	ʉ	◌ʉ
ʐ	ʐ	◌ʐ
ʑ	ʑ	◌ʑ
ʔ	ʔ	◌ʔ
β	β	◌β
