GRAPHEME	BIPA
a	a
b	b
d	d
dz	dz
dʑ	dʑ
e	e
f	f
g	g
h	h
i	i
i	i   
j	j
k	k
kw	kʷ
kʼ	kʰ
kʼw	kʷʰ
l	l
l̩	l̩
m	m
m̩	m̩
n	n
n̩	n̩
o	o
p	p
pf	pf
pf’	pfʰ
pʼ	pʰ
p’	pʰ
s	s
t	t
ts	ts
ts’	tsʰ
tɕ	tɕ
tɕ’	tɕʰ
tʂ	ʈʂ
tʂ’	ʈʂʰ
tʃ	tʃ
tʃʼ	tʃʰ
tʃ’	tʃʰ
tʼ	tʰ
t’	tʰ
u	u
u	u  
v	v
w	w
x	x
y	y
z	z
²	²
²²	²²
²³	²³
²¹	²¹
²¹²	²¹²
²¹³	²¹³
²¹⁴	²¹⁴
²⁴	²⁴
²⁴²	²⁴²
³²	³²
³³	³³
³¹	³¹
³⁴	³⁴
³⁵	³⁵
¹²	¹²
¹³	¹³
¹¹	¹¹
ã	ã
æ	æ
æ̃	æ̃
õ	õ
ø	ø
ĩ	ĩ
ŋ	ŋ
ŋ̍	ŋ̍
œ	œ
ũ	ũ
ȡ	ȡ
ȴ	ȴ
ȵ	ȵ
ȶ	ȶ
ɐ	ɐ
ɑ	ɑ
ɑ̃	ɑ̃
ɒ	ɒ
ɔ	ɔ
ɔ̃	ɔ̃
ɕ	ɕ
ə	ə
ə̃	ə̃
ɚ	ɚ
ɛ	ɛ
ɛ̃	ɛ̃
ɜ	ɜ
ɤ	ɤ
ɦ	ɦ
ɪ	ɪ
ɪ̃	ɪ̃
ɬ	ɬ
ɯ	ɯ
ɿ	ɿ
ʂ	ʂ
ʃ	ʃ
ʅ	ʅ
ʊ	ʊ
ʊ̃	ʊ̃
ʏ	ʏ
ʐ	ʐ
ʔ	ʔ
ʮ	ʮ
β	β
ᴀ	ɑ̟
ᴇ	e̞
ẽ	ẽ
⁰	⁰
⁴	⁴
⁴²	⁴²
⁴¹	⁴¹
⁴⁴	⁴⁴
⁴⁴³	⁴⁴³
⁴⁵	⁴⁵
⁴⁵⁴	⁴⁵⁴
⁵	⁵
⁵²	⁵²
⁵³	⁵³
⁵¹	⁵¹
⁵¹³	⁵¹³
⁵⁵	⁵⁵
